Municipality,displaced_people
a,7475
b,19260
c,38295
d,13800
e,4632
f,2282
g,15366
h,23690
i,26910
j,37720
KALINGA,30084
l,13800
m,44850
n,47081
o,13294
p,24799
q,17710
r,3303
s,19762
t,23391
u,16013
v,35862
w,28750
x,12770
y,23000
z,20939
aa,10656
ab,24632
ac,26882
ad,4357
ae,23832
af,9620
ag,8682
ah,4468
ai,16249
aj,12546
ak,25337
al,31648
am,29169
an,43728
ao,24150
ap,33161
aq,33746
ar,35466
as,37734
at,37067
au,35457
av,31929
aw,25544
ax,105961
ay,24780
az,28745
ba,48024
bb,46814
bc,2967
bd,18819
be,7020
bf,28699
bg,29504
bh,18073
bi,41446
bj,19320
bk,13110
bl,6771
bm,45568
bn,61755
bo,38806
bp,30700
bq,23382
br,34068
bs,41589
bt,16850
bu,36105
bv,26988
bw,2024
bx,2052
by,1665
bz,71167
ca,24385
cb,30820
cc,25167
cd,14260
ce,45876
cf,19453
cg,24251
ch,112976
ci,17494
cj,27775
ck,61033
cl,13358
cm,24403
cn,74785
co,69911
cp,24532
cq,74897
cr,34905
cs,52747
ct,11178
cu,6647
cv,20415
cw,16673
cx,16069
cy,27270
cz,9472
da,22292
db,23690
dc,6900
dd,20399
de,1578
df,2368
dg,6057
dh,3295
di,1730
dj,23058
dk,52342
dl,23571
dm,5384
dn,20655
do,35240
dp,12328
dq,18986
dr,30267
ds,36569
dt,43762
du,31142
dv,37908
dw,17059
dy,15158
dz,50193
ea,13667
eb,12901
ec,13376
ed,5670
ee,12226
ef,11140
eg,13505
eh,80546
ei,38691
ej,18117
ek,15984
el,12544
em,11243
en,22810
eo,7025
ep,57586
eq,12944
er,6734
es,27734
et,29211
eu,51893
ev,276509
ew,12507
ex,2686
ey,7033
ez,13667
fa,46037
fb,7614
fc,13184
fd,7696
fe,8142
ff,5253
fg,6909
fh,6619
fi,4742
fj,4535
fk,0
fl,15650
fm,20785
fn,7810
fo,5371
