,Province,Municipality,Unnamed: 2,Unnamed: 3,displaced_families,displaced_people,TOTAL_houses_damaged,PARTIALLY_damaged,TOTALLY_damaged,L1_name,L2_name,L1_best_match_name,L2_best_match_name,L1_code,L2_code
0,PALAWAN,AGUTAYA,2588,11906,1625,7475,1640,422,1218,PALAWAN,AGUTAYA,PALAWAN,AGUTAYA,PH175300000,PH175302000
1,PALAWAN,BUSUANGA,4643,21358,4187,19260,4187,2607,1580,PALAWAN,BUSUANGA,PALAWAN,BUSUANGA,PH175300000,PH175307000
2,PALAWAN,CORON,9335,42941,8325,38295,8325,5021,3304,PALAWAN,CORON,PALAWAN,CORON,PH175300000,PH175309000
3,PALAWAN,CULION,4248,19543,3000,13800,3000,1478,1522,PALAWAN,CULION,PALAWAN,CULION,PH175300000,PH175322000
4,PALAWAN,CUYO,4749,21847,1007,4632,448,426,22,PALAWAN,CUYO,PALAWAN,CUYO,PH175300000,PH175310000
5,PALAWAN,LINAPACAN,3083,14180,496,2282,567,545,22,PALAWAN,LINAPACAN,PALAWAN,LINAPACAN,PH175300000,PH175313000
6,MASBATE,BALUD,7314,35841,3136,15366,747,681,66,MASBATE,BALUD,MASBATE,BALUD,PH054100000,PH054103000
7,AKLAN,ALTAVAS,5200,23919,5150,23690,5170,1846,3324,AKLAN,ALTAVAS,AKLAN,ALTAVAS,PH060400000,PH060401000
8,AKLAN,BALETE,5912,27197,5850,26910,5702,893,4809,AKLAN,BALETE,AKLAN,BALETE,PH060400000,PH060402000
9,AKLAN,BANGA,8275,38063,8200,37720,8281,3608,4673,AKLAN,BANGA,AKLAN,BANGA,PH060400000,PH060403000
10,AKLAN,BATAN,6590,30312,6540,30084,6540,2700,3840,AKLAN,BATAN,AKLAN,BATAN,PH060400000,PH060404000
11,AKLAN,BURUANGA,3687,16962,3000,13800,2196,1914,282,AKLAN,BURUANGA,AKLAN,BURUANGA,PH060400000,PH060405000
12,AKLAN,IBAJAY,9843,45279,9750,44850,4955,4284,671,AKLAN,IBAJAY,AKLAN,IBAJAY,PH060400000,PH060406000
13,AKLAN,KALINGA,16222,74619,10235,47081,9959,7242,2717,AKLAN,KALINGA,BUKIDNON,KALILANGAN,PH101300000,PH101307000
14,AKLAN,LEZO,3156,14518,2890,13294,2890,2122,768,AKLAN,LEZO,AKLAN,LEZO,PH060400000,PH060408000
15,AKLAN,LIBACAO,6088,28005,5391,24799,4572,1450,3122,AKLAN,LIBACAO,AKLAN,LIBACAO,PH060400000,PH060409000
16,AKLAN,MADALAG,3950,18168,3850,17710,3564,1426,2138,AKLAN,MADALAG,AKLAN,MADALAG,PH060400000,PH060410000
17,AKLAN,MALAY,9959,45811,718,3303,599,441,158,AKLAN,MALAY,AKLAN,MALAY,PH060400000,PH060412000
18,AKLAN,MAKATO,5535,25461,4296,19762,4296,3152,1144,AKLAN,MAKATO,AKLAN,MAKATO,PH060400000,PH060411000
